economy,Country,EN.POP.SLUM.UR.ZS,FM.AST.DOMS.CN,FP.CPI.TOTL.ZG,IC.FRM.BRIB.ZS,NY.GDP.PCAP.KD,SE.PRM.ENRR,SE.PRM.UNER,SH.DYN.NMRT,SI.POV.GINI,SL.UEM.TOTL.ZS,SP.DYN.CBRT.IN,Year
LTU,Lithuania,,22280000000.0,1.19989444983569,,17213.8143045269,,,1.9,,8.48999977111816,9.0,2020
LIE,Liechtenstein,,,,,,,,,,,9.1,2020
LBY,Libya,,23138912613.0,,,6747.63894519799,,,6.0,,20.0659999847412,17.806,2020
LBR,Liberia,,,,,616.005385821789,,,30.6,,3.98000001907349,32.355,2020
LSO,Lesotho,,5312444943.51982,4.97809676252292,,1033.43213212091,,,44.3,,24.5629997253418,25.998,2020
LBN,Lebanon,,,84.8643330472041,,5072.45575306519,,,4.0,,13.2969999313354,17.17,2020
LVA,Latvia,,13326000000.0,0.219064904842049,,15559.5946483588,,,2.3,,8.10000038146973,9.2,2020
LAO,Lao PDR,,,5.10407262959903,,2554.42546325236,98.8112487792969,63422.0,21.7,,1.03400003910065,22.66,2020
KGZ,Kyrgyz Republic,,157109058715.412,6.32542296338083,,1102.66436211075,102.635406494141,642.0,11.7,29.0,8.70600032806396,24.0,2020
KWT,Kuwait,,,2.1017295482741,,24429.2204624852,87.2829284667969,,5.0,,3.53900003433228,12.616,2020
XKX,Kosovo,,3286542219.0027,0.198227922994858,,3990.97027440455,,,,,,15.4,2020
KOR,"Korea, Rep.",,3763475100700000.0,0.537288023411772,,31327.4094002797,,,1.5,,3.9300000667572,5.3,2020
PRK,"Korea, Dem. People's Rep.",,,,,,,,8.9,,2.9210000038147,13.784,2020
KIR,Kiribati,,,,,1473.88803412574,108.023712158203,554.0,21.3,,,26.999,2020
KEN,Kenya,,4941146420404.0,5.40481467184518,,1563.17870213378,,,20.5,,5.72900009155273,27.936,2020
KAZ,Kazakhstan,,24493594518522.6,6.74900183815967,,10974.2462750953,100.321098327637,144986.0,4.8,,4.8899998664856,22.76,2020
JOR,Jordan,,38181206695.981,0.33329435062843,,4028.96300716262,80.3544769287109,281509.0,8.8,,19.0259990692139,21.109,2020
JPN,Japan,,1699671200000000.0,-0.0249958340276592,,34556.4399294744,,,0.8,,2.79999995231628,6.8,2020
JAM,Jamaica,,1592032436810.37,5.22677779293517,,4539.00191663451,,,9.3,,9.47999954223633,15.695,2020
ITA,Italy,,3113601000000.0,-0.13770757391657,,29358.1294303082,,,1.7,,9.15999984741211,6.8,2020
ISR,Israel,,1252727475495.07,-0.588430300016595,,37488.4549533854,,,1.9,,4.32999992370605,19.2,2020
IMN,Isle of Man,,,,,,,,,,,,2020
IRL,Ireland,,290014000000.0,-0.334584625428444,0.4,78732.5533241753,,,2.0,,5.61999988555908,11.2,2020
IRQ,Iraq,,57340465430286.7,0.574162679425838,,4448.18365610689,,,14.4,,14.0880002975464,28.139,2020
IRN,"Iran, Islamic Rep.",,,30.5941390387295,,5333.0467792908,109.695373535156,11150.0,8.3,,12.168999671936,17.94,2020
IDN,Indonesia,,7616762596208240.0,1.92096800566845,,3757.12164054218,,,11.7,37.6,4.28000020980835,17.448,2020
IND,India,,,6.62343677628532,,1817.81578185277,99.9004592895508,6545825.0,20.3,,7.99700021743774,17.437,2020
ISL,Iceland,,3050376975850.0,2.84792401518658,,53188.0398077511,,,1.0,,5.48000001907349,12.3,2020
HUN,Hungary,,30415045900000.0,3.3267438576673,,14400.7191628784,,,2.1,,4.25,9.6,2020
HKG,"Hong Kong SAR, China",,7066616420000.0,0.250962021080809,,41469.9755056035,107.832077026367,8627.0,,,5.82999992370605,5.8,2020
HND,Honduras,,424870024323.824,3.46841177951168,,2239.0081498977,,,8.8,,8.3730001449585,21.06,2020
HTI,Haiti,,305083764077.688,22.7963113642528,,1311.70813672834,,,24.8,,15.451000213623,23.58,2020
GUY,Guyana,,561383922596.36,0.993337022838757,,9250.30167363697,,,17.3,,16.4309997558594,19.473,2020
GNB,Guinea-Bissau,,194372283531.0,,,619.28915783324,,,35.1,,6.73699998855591,34.006,2020
GIN,Guinea,,35308216933656.3,10.6018600008336,,962.116324219918,100.785369873047,302477.0,29.9,,6.10300016403198,35.568,2020
GTM,Guatemala,,301729504123.337,3.21444062197346,,4126.2054283726,100.610366821289,246359.0,11.1,,3.55299997329712,23.854,2020
GUM,Guam,,,,,31162.6759585132,,,,,6.80200004577637,16.348,2020
GRD,Grenada,,1243935737.2,-0.740732597045501,,8699.11138487343,,,10.9,,,15.902,2020
GRL,Greenland,,,,,47957.7936697606,,,,,,14.8,2020
GRC,Greece,,174269000000.0,-1.24798355581408,,17323.8227704417,,,2.4,,16.2999992370605,7.9,2020
GIB,Gibraltar,,,,,,108.761329650879,,,,,,2020
GHA,Ghana,,146772444745.073,9.88728956269943,,2020.62427213167,103.442001342773,265188.0,22.9,,4.65100002288818,28.598,2020
DEU,Germany,,5001282000000.0,0.506689889953274,,41315.3135706623,,,2.2,,3.80999994277954,9.3,2020
GEO,Georgia,,40173671934.0,5.2024648897533,,4447.664250894,99.4172897338867,2037.0,5.0,34.5,18.5,12.916,2020
GMB,"Gambia, The",,39057362345.46,5.93127636562439,,692.749167007907,103.526229858398,48762.0,25.7,,11.081000328064,37.588,2020
GAB,Gabon,,,1.17681176042119,,6818.49683740627,,,19.7,,21.9720001220703,30.257,2020
PYF,French Polynesia,,,,,19586.5414258844,,,,,14.0959997177124,14.175,2020
FRA,France,,4353786000000.0,0.476498852725083,,35785.967011942,,,2.6,,8.01000022888184,10.9,2020
FIN,Finland,,365601000000.0,0.290554555653313,2.8,45009.6152767648,,,1.4,,7.76000022888184,8.4,2020
FJI,Fiji,,8736837487.48589,-2.5952432588737,,4943.76957934039,112.685447692871,1225.0,11.6,,4.71500015258789,20.604,2020
FRO,Faroe Islands,,,,,,,,,,,12.9,2020
ETH,Ethiopia,,,20.3563468559061,,826.973053177312,119.402976989746,2187570.0,27.0,,3.23699998855591,31.442,2020
SWZ,Eswatini,,17049310359.6164,,,3723.29614191496,,,20.3,,25.5090007781982,25.4,2020
EST,Estonia,,19373000000.0,-0.444531097679859,,19767.0776001377,,,0.9,,6.80000019073486,9.9,2020
ERI,Eritrea,,,,,,,,17.7,,7.86499977111816,29.216,2020
GNQ,Equatorial Guinea,,,4.76970498098298,,6860.3740696936,,,28.7,,9.90100002288818,32.349,2020
SLV,El Salvador,,17537548282.3805,-0.371590212323993,,3632.45388124332,,,6.2,,6.2480001449585,17.827,2020
EGY,"Egypt, Arab Rep.",,5371807959369.12,5.04493288977533,4.9,4028.4209198079,,,10.3,,9.16699981689453,25.069,2020
ECU,Ecuador,,49082205174.0,-0.338872392562274,,5315.51653510112,99.0236587524414,26147.0,6.7,47.3,6.1100001335144,19.189,2020
DOM,Dominican Republic,,2087694996254.77,3.78103179915516,,7677.71037196084,105.721351623535,47570.0,23.4,39.6,6.13000011444092,18.863,2020
DMA,Dominica,,813194517.73,-0.727116412668306,,6566.72905131192,102.299041748047,54.0,30.0,,,,2020
DJI,Djibouti,,156980416000.0,1.77740783806174,,3102.35870619275,73.8484878540039,30897.0,30.4,,28.3899993896484,20.542,2020
DNK,Denmark,,5390847060000.0,0.420711974110026,3.4,56202.1658527477,,,2.5,,5.6399998664856,10.4,2020
CZE,Czechia,,3821606000000.0,3.16129528497808,,18984.6372995314,,,1.6,,2.54999995231628,10.3,2020
CYP,Cyprus,,30664000000.0,-0.638422797978907,,26502.84765625,,,1.6,,7.59000015258789,10.008,2020
CUW,Curacao,,,,,14748.8955466903,103.799499511719,905.0,,,,10.1,2020
CUB,Cuba,,,,,7156.10682116782,103.172561645508,1455.0,2.4,,2.62400007247925,9.779,2020
HRV,Croatia,,314049000000.0,0.154811374562028,,12984.6958701017,,,3.0,,7.51000022888184,8.9,2020
CIV,Cote d'Ivoire,,12042667971972.0,2.42500656821829,,2313.79338827553,100.457931518555,148341.0,33.2,,3.48799991607666,35.168,2020
CRI,Costa Rica,,26115950393299.6,0.724911478131358,,12126.6259473462,115.005317687988,316.0,5.6,49.3,17.4099998474121,13.404,2020
COG,"Congo, Rep.",,,1.79537147083111,,1639.23743525306,,,18.7,,22.8430004119873,31.991,2020
COD,"Congo, Dem. Rep.",,9700206077837.38,,,505.348338974061,,,26.8,,5.26599979400635,40.109,2020
COM,Comoros,,90515534743.51,,,1253.04454064659,,,29.0,,9.22299957275391,30.949,2020
COL,Colombia,,632897649671479.0,2.52462053498877,,5871.16172866834,112.675773620605,44988.0,7.2,54.2,15.039999961853,14.415,2020
CHN,China,,244000457968308.0,2.4194218945778,,10358.2594478753,103.173957824707,,3.5,,5.0,8.52,2020
CHL,Chile,,200592342343306.0,3.04549084804331,,12890.2643426289,,,4.4,44.9,11.1800003051758,11.99,2020
CHI,Channel Islands,,,,,,,,,,7.68599987030029,9.786,2020
TCD,Chad,,,4.46414437232863,,630.56913131474,,,32.8,,1.74199998378754,41.161,2020
CAF,Central African Republic,,,1.71015659523149,,415.090990549444,,,38.8,,6.35699987411499,34.879,2020
CYM,Cayman Islands,,,,,77959.1104862466,,,,,,12.6,2020
CAN,Canada,,,0.716999632307852,,42258.6910170917,,,3.2,,9.46000003814697,9.4,2020
CMR,Cameroon,,,2.43760882182242,,1419.67671120992,,,26.2,,3.83699989318848,34.421,2020
KHM,Cambodia,,127352980523945.0,2.94029514263973,,1377.14508617221,105.351997375488,222938.0,13.2,,0.331000000238419,21.561,2020
CPV,Cabo Verde,,159840748749.796,0.60579580839551,,2935.32104578217,,,8.5,,15.3059997558594,18.636,2020
BDI,Burundi,,3491544900000.0,7.32110643415513,,270.657674408175,,,20.9,,1.70700001716614,37.765,2020
BFA,Burkina Faso,,3389595068803.0,1.88470066518846,,731.522070723226,92.6278915405273,857221.0,25.8,,4.89499998092651,36.989,2020
BGR,Bulgaria,,70496730000.0,1.67244096855762,,7920.91133027298,,,3.0,,5.11999988555908,8.5,2020
BRN,Brunei Darussalam,,6279542421.58937,1.94031996607178,,30696.8771486375,98.3138732910156,678.0,6.1,,7.68200016021729,14.076,2020
VGB,British Virgin Islands,,,,,,122.187217712402,,,,,,2020
BRA,Brazil,,10112959209725.2,3.21176803803379,,8228.7742633553,,,8.7,48.9,13.6899995803833,13.463,2020
BWA,Botswana,,72260476263.0811,1.89035916824198,,6304.86230239663,,,21.9,,24.9300003051758,23.654,2020
BIH,Bosnia and Herzegovina,,19553621036.56,-1.05129600763481,,5437.51024290917,,,4.1,,15.2650003433228,7.778,2020
BOL,Bolivia,,275159850126.843,0.940742153381823,,2986.02443319248,98.8480987548828,69047.0,13.5,43.6,7.90000009536743,21.186,2020
BTN,Bhutan,,131997970415.838,5.62999177986902,,2879.63861772694,105.81169128418,3252.0,15.3,,3.6489999294281,16.712,2020
BMU,Bermuda,,,,,99728.6431022707,,,,,,8.4,2020
BEN,Benin,,1720881838366.0,3.02272119663756,,1214.65958680899,114.151092529297,128583.0,29.7,,1.58399999141693,35.452,2020
BLZ,Belize,,3110963143.9,,,3851.69824066881,107.685096740723,69.0,7.7,,8.46199989318848,20.247,2020
BEL,Belgium,,666689000000.0,0.740791812220385,4.3,40424.6388411871,,,2.4,,5.55000019073486,9.9,2020
BLR,Belarus,,56060774000.0,5.54814357456511,,6234.82432796722,95.3421401977539,23914.0,1.0,24.4,4.76800012588501,9.3,2020
BRB,Barbados,,,,,14329.1898503043,99.6530075073242,512.0,8.1,,10.3769998550415,10.598,2020
BGD,Bangladesh,,17915237000000.0,5.6910747474621,,1619.77588572519,119.556449890137,,17.5,,5.41300010681152,17.549,2020
BHR,Bahrain,,,-2.31770629331374,,19545.5785609474,,,2.9,,1.78100001811981,13.269,2020
BHS,"Bahamas, The",,9988616992.6,0.0385210980053727,,24359.0035780695,,,6.6,,13.3210000991821,13.791,2020
AZE,Azerbaijan,,22876953515.39,2.75980947008126,,5083.3816401988,95.8074722290039,71122.0,9.8,,6.46299982070923,12.5,2020
AUT,Austria,,524586000000.0,1.38191063351859,,43346.4318485062,,,2.3,,5.3600001335144,9.4,2020
AUS,Australia,,5241936162327.34,0.846905537459293,,58029.5155258862,99.0216064453125,33364.0,2.4,,6.46000003814697,11.5,2020
ABW,Aruba,,3909423000.0,,,23026.3328659732,,,,,,11.841,2020
ARM,Armenia,,5184433141048.83,1.21143577838465,1.4,4021.0462641001,91.2354431152344,17789.0,5.7,25.2,21.2059993743896,13.281,2020
ARG,Argentina,,,,,11344.4057423154,,,4.6,42.3,11.460000038147,16.644,2020
ATG,Antigua and Barbuda,,2621165976.75,0.625989707046698,,13285.6447420337,,,3.5,,,14.876,2020
AGO,Angola,,10521384394868.6,,,2390.47814465757,,,27.3,,8.33300018310547,39.791,2020
AND,Andorra,,,,,34588.0537227279,,,1.3,,,,2020
ASM,American Samoa,,,,,11839.0105004877,,,,,,12.7,2020
DZA,Algeria,,19125733945036.4,2.41513094083414,,3834.43898326376,111.281150817871,7718.0,16.3,,12.5500001907349,22.781,2020
ALB,Albania,,1047820000000.0,1.62088661717004,,4410.45516523171,100.151916503906,6221.0,7.8,,13.3290004730225,11.453,2020
AFG,Afghanistan,,-79378053336.8846,,,529.741210284938,,,35.2,,11.710000038147,31.153,2020
WLD,World,,,1.92096800566845,16.3925619834711,10548.904223411,102.407066345215,64162188.0,17.0,,6.5732342622241,17.3335987907788,2020
UMC,Upper middle income,,,1.64666379286383,11.7833333333333,9395.13864356936,103.888572692871,6732530.0,5.7,,6.75817287864445,11.4312048114966,2020
TSS,Sub-Saharan Africa (IDA & IBRD countries),,,3.7944227490438,22.7142857142857,1588.39354172089,99.6895065307617,37135628.0,27.1356444162033,,7.28055285221688,34.3828712769058,2020
SSA,Sub-Saharan Africa (excluding high income),,,3.54235668851353,22.7142857142857,1587.18385411508,99.689453125,37135492.0,27.1363940232651,,7.28055285221688,34.3844820074741,2020
SSF,Sub-Saharan Africa,,,3.7944227490438,22.7142857142857,1588.39354172089,99.6895065307617,37135628.0,27.1,,7.28055285221688,34.3828712769058,2020
TSA,South Asia (IDA & IBRD),,,5.6910747474621,24.7571428571429,1745.19967777997,101.871047973633,15235099.0,23.8337215354079,,7.23979318207037,18.9183531389491,2020
SAS,South Asia,,,5.6910747474621,24.7571428571429,1745.19967777997,101.871,15200000.0,23.9,,7.23979318207037,18.9183531389491,2020
SST,Small states,,,0.615892757721104,13.5615384615385,10960.1743785232,106.667953491211,503043.0,19.9348831742325,,10.3892504433648,21.3699578046088,2020
PRE,Pre-demographic dividend,,,3.54235668851353,27.4766666666667,1463.23462439242,97.6549224853516,36290292.0,27.8293372703645,,6.9350625013047,35.6699304071474,2020
PST,Post-demographic dividend,,,0.632267331911676,6.035,41227.05576994,100.717422485352,957512.0,2.63876888207347,,6.7010765813169,9.22665816745474,2020
PSS,Pacific island small states,,,0.218181818181824,43.8,3621.3178240116,110.669486999512,16098.0,10.0376298470869,,3.13375714168766,25.406428431907,2020
OSS,Other small states,,,1.83388350315186,10.8909090909091,11981.0415261166,108.575531005859,436810.0,22.2909627849728,,11.0077112400496,22.4200976681373,2020
OED,OECD members,,,0.732851645175872,2.52727272727273,35869.3485048834,102.006301879883,1200145.0,3.85483245906416,,7.10191223638122,10.7450232770458,2020
INX,Not classified,,,,,,,,,,,,2020
NAC,North America,,,0.975292014307111,,56441.3103881253,100.982063293457,243570.0,3.4,,8.20610779642912,10.7451969656553,2020
MIC,Middle income,,,2.54743464570552,17.6876712328767,5341.47942700686,102.237319946289,40913800.0,16.6282364424886,,6.67244251597142,16.9976897530479,2020
